Week #,Report #,Report Date,Futures Based On,Unfixed Call Sales,Chg Sales,Unfixed Call Purchases,Chg Purchases,At Close,Chg At Close,Yr,Month,Old/New,Report Year
1.0,1,01/07/2022,July 2024,0,0,220,0,0,0,2024.0,7.0,new2,2022
1.0,1,01/07/2022,December 2024,0,0,220,0,0,0,2024.0,12.0,new3,2022
1.0,1,01/07/2022,Totals,145278,1828,38691,297,245943,6047,,,total,2022
2.0,2,01/14/2022,March 2022,47346,-2641,8819,-199,109228,-8138,2022.0,3.0,old,2022
2.0,2,01/14/2022,May 2022,23503,1093,3095,41,58556,2711,2022.0,5.0,old,2022
2.0,2,01/14/2022,July 2022,50746,855,5450,-255,37607,7437,2022.0,7.0,old,2022
2.0,2,01/14/2022,October 2022,0,0,0,0,44,0,2022.0,10.0,old,2022
2.0,2,01/14/2022,December 2022,17477,2946,15850,1834,35026,253,2022.0,12.0,new1,2022
2.0,2,01/14/2022,March 2023,3509,119,716,-42,3127,335,2023.0,3.0,new1,2022
2.0,2,01/14/2022,May 2023,1595,257,0,0,583,209,2023.0,5.0,new1,2022
2.0,2,01/14/2022,July 2023,1521,71,44,0,403,30,2023.0,7.0,new1,2022
2.0,2,01/14/2022,December 2023,2277,-4,5745,89,4596,390,2023.0,12.0,new2,2022
2.0,2,01/14/2022,July 2024,0,0,220,0,0,0,2024.0,7.0,new2,2022
2.0,2,01/14/2022,December 2024,0,0,220,0,0,0,2024.0,12.0,new3,2022
2.0,2,01/14/2022,Totals,147974,2696,40159,1468,249170,3227,,,total,2022
3.0,3,01/21/2022,March 2022,43565,-3781,7173,-1646,104860,-4368,2022.0,3.0,old,2022
3.0,3,01/21/2022,May 2022,24990,1487,3334,239,60487,1931,2022.0,5.0,old,2022
3.0,3,01/21/2022,July 2022,51802,1056,5632,182,39142,1535,2022.0,7.0,old,2022
3.0,3,01/21/2022,October 2022,0,0,0,0,44,0,2022.0,10.0,old,2022
3.0,3,01/21/2022,December 2022,19164,1687,16860,1010,35447,421,2022.0,12.0,new1,2022
3.0,3,01/21/2022,March 2023,3239,-270,681,-35,3155,28,2023.0,3.0,new1,2022
3.0,3,01/21/2022,May 2023,1825,230,17,17,625,42,2023.0,5.0,new1,2022
3.0,3,01/21/2022,July 2023,1374,-147,44,0,520,117,2023.0,7.0,new1,2022
3.0,3,01/21/2022,December 2023,2168,-109,5782,37,5574,978,2023.0,12.0,new2,2022
3.0,3,01/21/2022,July 2024,0,0,0,-220,0,0,2024.0,7.0,new2,2022
3.0,3,01/21/2022,December 2024,0,0,0,-220,0,0,2024.0,12.0,new3,2022
3.0,3,01/21/2022,Totals,148127,153,39523,-636,249854,684,,,total,2022
4.0,4,01/28/2022,March 2022,35513,-8052,5928,-1245,96142,-8718,2022.0,3.0,old,2022
4.0,4,01/28/2022,May 2022,26667,1677,3581,247,69532,9045,2022.0,5.0,old,2022
4.0,4,01/28/2022,July 2022,52721,919,5370,-262,42381,3239,2022.0,7.0,old,2022
4.0,4,01/28/2022,October 2022,0,0,0,0,44,0,2022.0,10.0,old,2022
4.0,4,01/28/2022,December 2022,23043,3879,17519,659,37501,2054,2022.0,12.0,new1,2022
4.0,4,01/28/2022,March 2023,3897,658,747,66,3572,417,2023.0,3.0,new1,2022
4.0,4,01/28/2022,May 2023,2495,670,17,0,872,247,2023.0,5.0,new1,2022
4.0,4,01/28/2022,July 2023,1786,412,44,0,699,179,2023.0,7.0,new1,2022
4.0,4,01/28/2022,December 2023,2072,-96,6491,709,6156,582,2023.0,12.0,new2,2022
4.0,4,01/28/2022,July 2024,0,0,220,220,0,0,2024.0,7.0,new2,2022
4.0,4,01/28/2022,December 2024,0,0,220,220,0,0,2024.0,12.0,new3,2022
4.0,4,01/28/2022,Totals,148194,67,40137,614,256899,7045,,,total,2022
5.0,5,02/04/2022,March 2022,30541,-4972,5576,-352,77876,-18266,2022.0,3.0,old,2022
5.0,5,02/04/2022,May 2022,29495,2828,3691,110,87911,18379,2022.0,5.0,old,2022
5.0,5,02/04/2022,July 2022,53392,671,5461,91,44535,2154,2022.0,7.0,old,2022
5.0,5,02/04/2022,October 2022,0,0,0,0,48,4,2022.0,10.0,old,2022
5.0,5,02/04/2022,December 2022,23492,449,18442,923,41656,4155,2022.0,12.0,new1,2022
5.0,5,02/04/2022,March 2023,3938,41,905,158,5268,1696,2023.0,3.0,new1,2022
5.0,5,02/04/2022,May 2023,2772,277,17,0,979,107,2023.0,5.0,new1,2022
5.0,5,02/04/2022,July 2023,2593,807,44,0,731,32,2023.0,7.0,new1,2022
5.0,5,02/04/2022,December 2023,1727,-345,6598,107,7052,896,2023.0,12.0,new2,2022
5.0,5,02/04/2022,July 2024,0,0,220,0,0,0,2024.0,7.0,new2,2022
5.0,5,02/04/2022,December 2024,0,0,220,0,0,0,2024.0,12.0,new3,2022
5.0,5,02/04/2022,Totals,147950,-244,41174,1037,266056,9157,,,total,2022
